"filename", "language", "JSON", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\CreatedApps\HyperLynxApp\config\database.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"c:\CreatedApps\HyperLynxApp\controllers\auth.js", "JavaScript", 0, 84, 0, 0, 0, 1, 14, 99
"c:\CreatedApps\HyperLynxApp\controllers\regularCheck.js", "JavaScript", 0, 108, 0, 0, 0, 0, 2, 110
"c:\CreatedApps\HyperLynxApp\models\challenges.js", "JavaScript", 0, 33, 0, 0, 0, 0, 1, 34
"c:\CreatedApps\HyperLynxApp\models\dataCollect.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 41
"c:\CreatedApps\HyperLynxApp\models\matches.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"c:\CreatedApps\HyperLynxApp\models\questions.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 42
"c:\CreatedApps\HyperLynxApp\models\rooms.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 42
"c:\CreatedApps\HyperLynxApp\models\sports.js", "JavaScript", 0, 17, 0, 0, 0, 0, 2, 19
"c:\CreatedApps\HyperLynxApp\package-lock.json", "JSON", 1930, 0, 0, 0, 0, 0, 1, 1931
"c:\CreatedApps\HyperLynxApp\package.json", "JSON", 32, 0, 0, 0, 0, 0, 1, 33
"c:\CreatedApps\HyperLynxApp\public\images\teams\NFL\Baltimore_Ravens.svg", "XML", 0, 0, 0, 0, 15, 0, 1, 16
"c:\CreatedApps\HyperLynxApp\public\images\teams\NFL\Buffalo_Bills.svg", "XML", 0, 0, 0, 0, 2, 0, 1, 3
"c:\CreatedApps\HyperLynxApp\public\images\teams\NFL\New_England_Patriots.svg", "XML", 0, 0, 0, 0, 1, 0, 1, 2
"c:\CreatedApps\HyperLynxApp\public\images\teams\WNBA\Atlanta_Dream.svg", "XML", 0, 0, 0, 0, 124, 1, 1, 126
"c:\CreatedApps\HyperLynxApp\public\images\teams\WNBA\Indiana_Fever.svg", "XML", 0, 0, 0, 0, 99, 1, 1, 101
"c:\CreatedApps\HyperLynxApp\public\images\teams\WNBA\New_York_Liberty.svg", "XML", 0, 0, 0, 0, 312, 1, 1, 314
"c:\CreatedApps\HyperLynxApp\public\images\teams\WNBA\Seattle_Storm.svg", "XML", 0, 0, 0, 0, 154, 1, 1, 156
"c:\CreatedApps\HyperLynxApp\public\images\teams\WNBA\Washington_Mystics.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\CreatedApps\HyperLynxApp\public\libs\jquery.tickerNews.min.js", "JavaScript", 0, 127, 0, 0, 0, 0, 27, 154
"c:\CreatedApps\HyperLynxApp\public\trivia.css", "CSS", 0, 0, 483, 0, 0, 60, 125, 668
"c:\CreatedApps\HyperLynxApp\routes\auth.js", "JavaScript", 0, 6, 0, 0, 0, 0, 4, 10
"c:\CreatedApps\HyperLynxApp\routes\game.js", "JavaScript", 0, 292, 0, 0, 0, 1, 49, 342
"c:\CreatedApps\HyperLynxApp\routes\pages.js", "JavaScript", 0, 183, 0, 0, 0, 1, 33, 217
